Team,Sprint,Issue ID,Story Points,Status,Notes,Sprint Start Date,Sprint End Date,Points Committed,Points Delivered,Predictability (%),RAG Status,Stories Planned,Stories Delivered,Stories Pulled Back,Stories Added Mid-sprint,Churn Status,Delivery Status,Action Item
Team A,Sprint 1,TEAMA-100,3,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-101,8,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-102,5,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-103,4,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-104,4,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-105,4,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 2,TEAMA-106,3,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-107,3,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-108,4,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-109,4,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-110,7,Pulled Back,Changed priorities,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-111,7,Pulled Back,Changed priorities,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-112,2,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-113,4,Delivered,,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-114,2,Delivered,,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
